id,url,anio,num,titulo,var1,var2,fuente_texto,pais_excluyente,url_pdf,url_xml
1,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/30879,2014,30,Diseño urbano y sentido de lugar,"Chilean cities should be subject of serious concern, not only because population in them is growing in size, but also in discontent. Functionality related problems, as well as a loss of local identity, make dwelling in urban areas meaningless. Addressing the aforementioned problems requires an approach that not only considers functionality, but also perceptual and subjective issues that arise from the perception that the inhabitants of cities have, in relation with their environment. Therefore, the sense of place appears to be a fundamental aspect to look at, since it can transform the way of inhabiting a certain area. Moreover, some guidance regarding what is a good place, and should it be can be found within the principles of urban design. However, the linkage between design theory, creating sense of place and the urban design practice, have not been developed yet. This articles intends to look at how Sternberg's integrative urban design theory could be applied, putting emphasis on the production of places with meaning, through the projects developed in an architecture studio at the Universidad Austral de Chile, for the city of Valdivia. The results focus on the spatial transformation of key areas of the city, through a methodology that integrates theory and practice.",Diseño urbano; Lugar; Valdivia; Espacio público,html,,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/30879/33911,
2,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/35459,2015,32,Construir la ciudad desde los espacios públicos,"With the lack of public space as a factor that generates urban quality of life in terms of missed opportunities of the territory, loss of identity and social division, is proposed a methodology for analysis and evaluation of the urban public space based on qualitative data, with a theoretical basis, so it can be used in planning practice. The manuscript is centered on the potential projection of perceived urban space and spatial hierarchies as a result of the social uses along with temporal-spatial changes such as population growth and social disintegration. For this, it is reviewed various notions of public space and elements of correspondence in the city of Santiago, Chile. In order to understand the behavior and function of public space, a methodology for classification of public spaces is made on the dimensions: morpho-typology, functional and socio-psychological from the relationships established between man and his environment. It is concluded that uncovering these discourses becomes fundamental to add a new level to effective urban infrastructure according to their needs and conditions, significantly increasing the socio-spatial impacts.",Espacios públicos; tipología; integración social; convergencias; alteridad,html,,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/35459/38290,
3,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/35879,2015,33,La mecánica de producción de los imaginarios urbanos,"Research on urban imaginaries has proliferated in Latin America for the past years. However, apparently no one has tackled the issue of how the image of the city comes to be. Therefore, there is a lack of explicit propositions regarding the way in which the process of production of urban imagery could be analyzed. In this article we propose a framework for the analysis of the production of urban imaginaries, by reviewing the most relevant literature in the field, which allows us to develop what we called the ""mechanics"" of production of urban imaginaries. Subsequently, in order to clarify our proposal, we refer to two case studies: the ""Santiago in 100 words"" short-story competition and the ""Vivienda y Decoración"" newspaper insert. According to our analysis, the ""mechanics"" of production of urban imaginaries is characterized by specific ways of representation used to depict urban environments, that due to their massive distribution, become perceptual frameworks of the city, getting fixed as the foundations for general action, giving shaping our experiences and permeating our interpretations of new imaginaries that come into place.",Imaginarios urbanos; trasfondo; publicidad inmobiliaria; micro-relatos; Santiago de Chile,html,,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/35879/39795,
4,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/36172,2015,32,Intervenciones en paisajes urbanos residuales,"Beginning from the reconstruction process of the Chilean earthquake and tsunami of February 27, 2010, it was generated the need of an intervention on those rings and bags of residual urban space, the most affected areas, because of their relation with the landscape. For this purpose, a new landscape planning was developed in order to propose new public space and to integrate concepts of mitigation through green urban belts, generating the concept of mitigation parks. Those residual urban spaces that the expansion of our cities have generated over ecologically vulnerable territories, in the measure of having been treated with sustainable criteria, will develop value no just in landscape design terms, but also as a potential sustainable public space capable of a dialogue with the natural environment. Methodologically, this study analyzed a relevant sample of the main urban projects of this type in the regions of Maule and Biobio, Chile, analyzing goods and wrongs in the process. In that way, it was established a series of general urban design criteria in order to generate an intervention that guarantee a better relationship between the urban landscape and natural environment.",Espacio urbano residual; parque de mitigación; paisaje urbano,html,,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/36172/38289,
5,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/36528,2015,32,"Nuevas urbanizaciones costeras, gentrificación turística en la bahía de Coquimbo?","Globalization has contributed to the expansion of property development markets; pressing developments that respond to considerations of capital markets and tourism. This urban development increase, is not exclusive of cities and metropolis but extends to rural and tourist landscapes. They have urban development associated with the phenomenon of tourist gentrification features. From this view in the document is raise that; the increase of built in recent decades on the coastal edge of the Coquimbo Bay, is manifesting as physical, cultural and social changes that not only affect the spas and urban systems surface who receive them; but, generate a favorable context for the phenomenon of gentrification tourism develops. Phenomenon that's redefining in Latin American context and especially Chilean coast.",gentrificación turística; mercados inmobiliarios de segunda residencia; bahía de coquimbo,html,,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/36528/38283,
6,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/36545,2015,32,Panorama teórico y tendencias contemporáneas de Barrios Sustentables. Especulaciones en torno a un modelo de desarrollo para Chile.,"Urban growth entails a series of impacts on the territory, usually related to farm soil consumption and depopulation in central areas. These two trends lead to the surge of housing projects in diverse formats, which can group several housing units. It is relevant then to enquire on their characteristics to explore alternate growth and regeneration models that foster sustainable development. In that context, the research is focused in the neighbourhood scale to integrate sustainability criteria. International literature sustain that is in the neighbourhood where it is possible to establish a positive link between environmental return, like air pollution reduction, noise, etc., and social return, like integration and social cohesion. Nevertheless, it is still not possible to establish a suitable development mode on these matters in the national context. Thus the paper will aim to progress in the knowledge of the implementation of this model within local urban praxis.",barrios sustentables; indicadores de sustentabilidad; mejores prácticas; vivienda social,html,,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/36545/38287,
7,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/36556,2015,32,"Primer ensayo urbanístico regional, modernidad en La Serena, 1946 - 1952","Plan Serena represents an extensive economic, urban and architectural conducted between 1946 and 1952, in the Bay of Coquimbo and La Serena, under precepts of modernity performance, but that required (at the express wish of the client, the President of the Republic) a neo-colonial building style. Seventy years later, and under the implementation of local development strategic plan, it becomes posible to study this initiative, as well as to evaluate its results. It is stated that under the formal (stylistic) layer, modern architectural work emerges, producing spaces and urban places that are now part of our everyday heritage. This article is part of the doctoral thesis; Serena Plan, validity and obsolescence, where one of the goals is to build from the local architectural and urban knowledge of where we find ourselves.",Urbanismo; Plan Serena; planificación; Plan de Fomento Económico,html,,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/36556/38284,
8,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/36569,2015,33,"Interacciones de agua y ciudad / Una investigación de Urbanismo del Paisaje aplicado al caso del río Andalién, Concepción.","Water and city are inseparably linked. As water is a necessity, cities have always been related to and defined by water. Under the theoretical framework of Landscape Urbanism this article analyses the water-city relationship. It uses the landscape scale to study the interplay between the built environment and water structures as they articulate harmoniously, but very often also in conflicting ways. Flooding, waterlogging, water scarcity and water quality are only a few of the notions that problematize the relationship. The article discussed the preliminary results of the doctoral research ""River Restoration as an Urban Development Strategy"". It seeks to establish the possibilities of applying river restoration in urban contexts as an analysis and design method and turning river restoration instruments into decision making and development tools. The case study is Andalien River in Concepcion City, Chile. The landscape scale reference unit is the river basin. The geographic sections of this river course; their dynamics and the interplay with the urban are analysed, mainly through the cartographic exploration. The results shown in this article are first outlines for an exploratory city-water atlas that assesses and evaluates landscape elements as structures that can guide future urbanisation, while restoring a more constructive interplay between water and urban structures.",Urbanismo del paisaje; planificación adaptativa; restauración fluvial; investigación por diseño,html,,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/36569/39793,
9,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/36626,2015,32,"El proyecto urbano “La Chimba” Antofagasta, aciertos y retos pendientes","In 1997, the Urban Project Department of the Chilean Ministry of Housing in cooperation with Antofagasta local government and the Land Ministry began the making of a development plan for an unused area in the northern tip of the city known as La Chimba. The aim of the plan was to ensure a methodical and coherent planning of 417 hectares of land belonging to the State. This plan proposed a new way of projecting the growth of the city, with a special emphasis in the connectivity of the project, considering car parking and bi-directional routes as well as proposing a mix zoning use, including equipment areas, urban parks, accompanied by a policy of image change of an area up to then seen a derelict as is reveled in scale models and plans of the project. One of the most important challenges of the project was to implement innovative urban management tools. Ten years after some successful decisions and mistakes can be identified. The project was implemented but due to urban development policies changes other similar projects have not been implemented since.",Urbanismo; Planificación Urbana; Proyectos Urbanos; Gestión Urbana; La Chimba; Antofagasta,html,,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/36626/38286,
10,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/36649,2015,33,"Convivencialidad y seguridad en espacios comunitarios del movimiento moderno. Estudio de la Remodelación Paicaví, Concepción","When considering segregation and the lack of security as negative influences on the development of society, it is possible to say that the concept of convivenciality becomes key for equitable social growth, as it was strongly stressed by the Modern Movement through the design of community residential complexes. Within this context, the overarching goal of this research is to understand how the spatial conditions proposed by Modern Movement architecture have provided convivenciality spaces for the people that inhabit them, strengthening their ties to the place and the community. The Remodelación Paicaví project has been chosen as case study, given its character of flagship project for the city of Concepción, as well as because it was developed under the principles of the Modern Movement. The analysis aimed to establish a relationship between the design principles applied and the conditions of convivenciality (security, non-segregation, etc.). The results show that even if there are certain design conditions that appear as favorable, the presence of large spaces that lack activities has led to abandonment, which has affected the perception of security, triggering rejection from residents and undermining the sense of community.",convivencialidad; espacios comunitarios; Movimiento Moderno,html,,https://revistaurbanismo.uchile.cl/index.php/RU/article/view/36649/39818,
